id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
903125425175805213,Cozy Urban Studio in Boston,510712953,Rosy,,Dorchester,42.284873568189504,-71.04756586071318,Entire home/apt,145,2,77,2025-05-30,3.15,2,294,32,STR-544857
903924529985256996,Stunning Unique And Very Upscale,163848078,Adam,,Jamaica Plain,42.3284,-71.11054,Entire home/apt,1098,29,6,2024-10-12,0.24,95,365,1,Exempt: This listing is a unit used for furnished institutional or business stays
904194014030747377,"Blueground | Back Bay, gym & w/d, nr restaurants",107434423,Blueground,,Bay Village,42.34992,-71.06943,Entire home/apt,346,32,1,2024-06-07,0.08,369,3,0,
904496418825292183,"Private bedroom, shared bath, off-street parking L",66589143,Tzuo Hann,,Dorchester,42.29326606011727,-71.05967807778376,Private room,62,32,5,2025-06-11,0.22,3,96,1,STR-468301
904970320098449606,Private Room and bathroom w/patio near down town,24613567,Eno,,Roxbury,42.32559287428384,-71.08601091383248,Private room,,1,63,2025-04-12,2.68,1,0,1,STR-530606
905626249213919220,Retro Bungalow| Inquire for Discounts & Questions,503403347,Sanaba,,Mattapan,42.28164157543658,-71.09436311898457,Entire home/apt,279,29,4,2023-10-08,0.16,1,365,0,STR-074983
906355319300394288,Boston Cozy Suite & Bathroom,171686913,Hunter,,Dorchester,42.32446512333342,-71.06484591422966,Private room,85,2,13,2025-05-31,1.65,4,155,13,STR-522926
907906545606121142,"Cozy studio near-Train&Bus, safe area in Boston",4546050,Margarita,,West Roxbury,42.27966722977507,-71.16040286824438,Entire home/apt,125,5,24,2025-06-09,1.04,5,202,13,STR-520919
908671978344957931,Stunning Riverview 2BR/2BA,163848078,Adam,,Brighton,42.36033,-71.14863,Entire home/apt,574,29,8,2023-10-23,0.34,95,365,0,Exempt: This listing is a unit used for furnished institutional or business stays
909639754097586151,"Spacious, Sun~filled Brownstone in Heart of Boston",443587558,Tiffany,,Bay Village,42.3498155,-71.068324,Entire home/apt,988,1,102,2025-06-16,4.24,3,268,50,STR-593564
909739326283898244,Stunning Luxury Oasis ~Brownstone @Heart of Boston,443587558,Tiffany,,Bay Village,42.349815,-71.068324,Entire home/apt,1056,10,2,2024-07-15,0.12,3,303,1,STR-593564
909901104136401529,Nicely furnished single family in boston,16052189,Jonathan,,Hyde Park,42.24348,-71.13853,Entire home/apt,143,30,0,,,11,315,0,
912803736902447038,"Blueground | Fenway, gym & w/d, nr dining & shops",107434423,Blueground,,Fenway,42.3465132,-71.1032136,Entire home/apt,326,32,1,2024-08-30,0.10,369,333,1,
912804129665470492,"Blueground | Fenway, gym, nr green line & shops",107434423,Blueground,,Fenway,42.3465132,-71.1032136,Entire home/apt,,32,0,,,369,11,0,
912804530512243826,"Blueground | Fenway, gym, nr dining & shops",107434423,Blueground,,Fenway,42.3465132,-71.1032136,Entire home/apt,387,32,0,,,369,323,0,
912836898939477727,"Happy Green House, Boston Landing, BU, BC, Harvard",412792920,Sheila,,Allston,42.3556715,-71.1375296,Entire home/apt,262,2,58,2025-06-18,2.42,2,152,27,STR-520260
913145507585334187,"Spacious, New Renovation | Near T",151238588,Daniel,,Dorchester,42.3172101,-71.0598517,Entire home/apt,515,30,20,2025-05-21,1.19,2,289,16,STR-445060
